🌟央臺🌟,#genre#
台视新闻,https://ktpremium.world/live/LT1976F/A9177/515200.ts
中视新闻,https://ktpremium.world/live/LT1976F/A9177/515206.ts
靖洋戏剧,https://ktpremium.world/live/LT1976F/A9177/900861.ts
靖天映画,https://ktpremium.world/live/LT1976F/A9177/900862.ts
ELTA综合,https://ktpremium.world/live/LT1976F/A9177/900865.ts
龙华电影,https://ktpremium.world/live/LT1976F/A9177/918602.ts
靖天戏剧台,https://ktpremium.world/live/LT1976F/A9177/918600.ts
TVBS歡樂台,https://ktpremium.world/live/LT1976F/A9177/918585.ts
民视台湾台,https://ktpremium.world/live/LT1976F/A9177/918589.ts
三立戏剧,https://ktpremium.world/live/LT1976F/A9177/918593.ts
民视综艺台,https://ktpremium.world/live/LT1976F/A9177/918590.ts
靖天日本,https://ktpremium.world/live/LT1976F/A9177/918597.ts
靖天育乐,https://ktpremium.world/live/LT1976F/A9177/918595.ts
靖天综合,https://ktpremium.world/live/LT1976F/A9177/918598.ts
公视戏剧,https://ktpremium.world/live/LT1976F/A9177/515023.ts
豬哥亮歌廳秀,https://ktpremium.world/live/LT1976F/A9177/918599.ts
八大精彩,https://ktpremium.world/live/LT1976F/A9177/995280.ts
靖天欢乐台,https://ktpremium.world/live/LT1976F/A9177/995286.ts
龙华日韩,https://ktpremium.world/live/LT1976F/A9177/948087.ts
东森戏剧,https://ktpremium.world/live/LT1976F/A9177/1003296.ts
东森综合,https://ktpremium.world/live/LT1976F/A9177/1003297.ts
三立台湾,https://ktpremium.world/live/LT1976F/A9177/1003298.ts
中天综合,https://ktpremium.world/live/LT1976F/A9177/1003299.ts
三立都会,https://ktpremium.world/live/LT1976F/A9177/1003300.ts
民视戏剧台,https://ktpremium.world/live/LT1976F/A9177/918591.ts
龙华经典,https://ktpremium.world/live/LT1976F/A9177/1029148.ts
龙华偶像,https://ktpremium.world/live/LT1976F/A9177/1029149.ts
靖天资讯,https://ktpremium.world/live/LT1976F/A9177/918596.ts
八大综艺台,https://ktpremium.world/live/LT1976F/A9177/995281.ts
寰宇新闻台,https://ktpremium.world/live/LT1976F/A9177/857803.ts
中天新闻HD,https://ktpremium.world/live/LT1976F/A9177/870539.ts
东森新闻,https://ktpremium.world/live/LT1976F/A9177/870544.ts
年代新闻,https://ktpremium.world/live/LT1976F/A9177/877060.ts
台新闻,https://ktpremium.world/live/LT1976F/A9177/903164.ts
Rusia Today,https://ktpremium.world/live/LT1976F/A9177/995375.ts
寰宇新闻台湾台,https://ktpremium.world/live/LT1976F/A9177/1003301.ts
华视新闻,https://ktpremium.world/live/LT1976F/A9177/918584.ts
好莱坞电影台,https://ktpremium.world/live/LT1976F/A9177/684844.ts
东森洋片,https://ktpremium.world/live/LT1976F/A9177/870558.ts
龙华洋片,https://ktpremium.world/live/LT1976F/A9177/515085.ts
龙祥时代,https://ktpremium.world/live/LT1976F/A9177/694086.ts
美亚电影,https://ktpremium.world/live/LT1976F/A9177/870561.ts
AMC电影台,https://ktpremium.world/live/LT1976F/A9177/995220.ts
靖天电影台,https://ktpremium.world/live/LT1976F/A9177/995222.ts

🌟香港🌟,#genre#
华丽翡翠台,https://cdn.qd.je/163189/hlfct
TVB亚洲武侠,https://cdn.qd.je/163189/yzwx
无线新闻台,https://cdn.qd.je/163189/wxxwt
TVB星河,https://cdn.qd.je/163189/tvbxh
TVB星河,https://cdn.qd.je/163189/xinghe
翡翠台,http://c.123.rr.kg/163189/fct
华丽翡翠台(硬字幕),http://c.123.rr.kg/163189/jade
无线新闻台,http://c.123.rr.kg/163189/wxxw
HOY TV,http://c.123.rr.kg/163189/hoy
凤凰中文,http://c.123.rr.kg/163189/fhzw
